instance,N,M,Seed,iters_per_sec,end_time,max_iter_cap,final_time_s,final_cpu_s,final_bestZ,best_at_iter,final_iter,pm_peak,pm_final,ccrit_peak,ccrit_zero_iter,distinct_first,distinct_last,total_best_events,restarts,s1acc_cum,s2acc_cum,s2strict_cum,s4acc_cum,s5acc_cum,s1g_cum,s2g_cum,s4g_cum,s5g_cum,pm_size,stop_reason,time_to_best_frac,dead_tail_frac,s2_accepts_per_iter,s2_sideways_frac,s1_accepts_per_iter,s4_accepts_per_run,s5_accepts_per_run,pm_churn,ms_per_iter
N50_M6_S30,50,6,30,207.91,120.0,50000.0,120.015,120.012,4567.736328,4704.0,24952.0,1910.0,219.0,777.0,400.0,30.0,30.0,66.0,7.0,748500.0,2411301.0,5450.0,622.0,3587.0,40.0,259.0,11.0,69.0,219.0,TIME,0.18852196216736133,0.8114780378326387,96.63758416159025,0.9977398093394396,29.99759538313562,622.0,3587.0,8.721461187214611,4.809773459670049
N50_M9_S10,50,9,10,195.76,120.0,50000.0,120.022,120.014,6323.985352,11227.0,23495.0,1897.0,305.0,483.0,300.0,30.0,30.0,65.0,4.0,704700.0,3195081.0,2384.0,404.0,2852.0,44.0,149.0,7.0,46.0,305.0,TIME,0.47784635028729516,0.5221536497127048,135.9898276228985,0.9992538530322079,29.993615662907,404.0,2852.0,6.219672131147541,5.108295872496935
N50_M9_S20,50,9,20,207.62,120.0,50000.0,120.015,120.009,6013.550781,14609.0,24917.0,1849.0,339.0,489.0,500.0,30.0,30.0,84.0,4.0,747300.0,3344738.0,2520.0,580.0,2820.0,50.0,195.0,11.0,66.0,339.0,TIME,0.5863065377051812,0.41369346229481885,134.23518080025684,0.9992465777588558,29.991572019103423,580.0,2820.0,5.454277286135693,4.816491667469415
N50_M9_S30,50,9,30,204.18,120.0,50000.0,119.989,120.001,5827.876465,23716.0,24500.0,1881.0,328.0,587.0,500.0,30.0,30.0,75.0,5.0,735000.0,2799126.0,3287.0,626.0,2941.0,51.0,301.0,16.0,74.0,328.0,TIME,0.968,0.03200000000000003,114.25004081632653,0.9988257048807377,30.0,626.0,2941.0,5.734756097560975,4.897639337839161
N100_M3_S10,100,3,10,136.58,300.0,20000.0,146.437,146.432,3053.804688,18335.0,20000.0,5880.0,170.0,3867.0,500.0,30.0,30.0,65.0,5.0,600000.0,1918694.0,12982.0,586.0,3080.0,30.0,497.0,31.0,99.0,170.0,ITER,0.91675,0.08325000000000005,95.9347,0.993233939335819,30.0,586.0,3080.0,34.588235294117645,7.321716210279689
N100_M3_S20,100,3,20,142.51,300.0,20000.0,140.336,140.321,2921.281006,14078.0,20000.0,5886.0,160.0,3872.0,500.0,30.0,30.0,63.0,6.0,600000.0,1725704.0,15068.0,741.0,3323.0,27.0,384.0,23.0,66.0,160.0,ITER,0.7039,0.29610000000000003,86.2852,0.9912684910042511,30.0,741.0,3323.0,36.7875,7.017051434987019
N100_M3_S30,100,3,30,139.01,300.0,20000.0,143.875,143.864,3305.629395,10815.0,20000.0,5790.0,186.0,3726.0,300.0,30.0,30.0,68.0,5.0,600000.0,1743489.0,12770.0,648.0,3522.0,36.0,293.0,20.0,76.0,186.0,ITER,0.54075,0.45925000000000005,87.17445,0.9926756062126001,30.0,648.0,3522.0,31.129032258064516,7.1937270699949645
N100_M6_S10,100,6,10,83.85,300.0,20000.0,238.514,238.505,5172.055664,18670.0,20000.0,6024.0,364.0,3498.0,800.0,30.0,30.0,91.0,2.0,600000.0,3563031.0,7989.0,449.0,2721.0,43.0,662.0,33.0,115.0,364.0,ITER,0.9335,0.0665,178.15155,0.9977578078888452,30.0,449.0,2721.0,16.54945054945055,11.926058437686345
N100_M6_S20,100,6,20,88.12,300.0,20000.0,226.955,226.963,5034.02002,18819.0,20000.0,5985.0,364.0,3386.0,700.0,30.0,30.0,97.0,2.0,600000.0,2967157.0,7690.0,494.0,2541.0,54.0,551.0,19.0,98.0,364.0,ITER,0.94095,0.05905000000000005,148.35785,0.9974082935281147,30.0,494.0,2541.0,16.442307692307693,11.348161597821152
N100_M6_S30,100,6,30,87.5,300.0,20000.0,228.579,228.573,5351.92627,19926.0,20000.0,5982.0,394.0,3368.0,700.0,30.0,30.0,97.0,2.0,600000.0,3124895.0,7911.0,484.0,2857.0,53.0,981.0,49.0,164.0,394.0,ITER,0.9963,0.0037000000000000366,156.24475,0.9974683949380699,30.0,484.0,2857.0,15.182741116751268,11.428571428571429
N100_M9_S10,100,9,10,59.79,300.0,20000.0,300.011,300.006,6859.527344,16391.0,17938.0,5831.0,510.0,2983.0,900.0,30.0,30.0,107.0,0.0,537900.0,4096492.0,3659.0,249.0,1714.0,53.0,920.0,41.0,156.0,510.0,TIME,0.9137585015051846,0.08624149849481544,228.36949492697067,0.9991067967421882,29.986620582004683,249.0,1714.0,11.433333333333334,16.725204883759826
N100_M9_S20,100,9,20,69.18,300.0,20000.0,289.111,289.108,6848.631836,15520.0,20000.0,5960.0,484.0,2996.0,500.0,30.0,30.0,112.0,1.0,600000.0,4112420.0,5374.0,420.0,2454.0,52.0,800.0,36.0,160.0,484.0,ITER,0.776,0.22399999999999998,205.621,0.9986932268591243,30.0,420.0,2454.0,12.314049586776859,14.455044810638912
N100_M9_S30,100,9,30,71.29,300.0,20000.0,280.534,280.518,7124.931152,10612.0,20000.0,5915.0,585.0,2950.0,600.0,30.0,30.0,102.0,4.0,600000.0,3852467.0,10828.0,806.0,4436.0,63.0,616.0,25.0,80.0,585.0,ITER,0.5306,0.46940000000000004,192.62335,0.9971893334842323,30.0,806.0,4436.0,10.11111111111111,14.027212792818066
N150_M3_S10,150,3,10,83.84,300.0,20000.0,238.547,238.545,3572.80127,19071.0,20000.0,9648.0,269.0,8561.0,300.0,30.0,30.0,65.0,5.0,600000.0,2342776.0,20998.0,830.0,3638.0,32.0,875.0,39.0,136.0,269.0,ITER,0.95355,0.04644999999999999,117.1388,0.9910371286029906,30.0,830.0,3638.0,35.86617100371747,11.927480916030534
N150_M3_S20,150,3,20,88.58,300.0,20000.0,225.78,225.767,4043.001465,14168.0,20000.0,9773.0,257.0,8595.0,300.0,30.0,30.0,73.0,4.0,600000.0,2217549.0,17902.0,682.0,3633.0,30.0,828.0,34.0,142.0,257.0,ITER,0.7084,0.29159999999999997,110.87745,0.9919271231436149,30.0,682.0,3633.0,38.02723735408561,11.289230074508918
N150_M3_S30,150,3,30,82.23,300.0,20000.0,243.225,243.204,3794.548096,18439.0,20000.0,9622.0,253.0,8497.0,300.0,30.0,30.0,68.0,3.0,600000.0,2076764.0,15077.0,579.0,3035.0,29.0,742.0,40.0,127.0,253.0,ITER,0.92195,0.07804999999999995,103.8382,0.9927401476527906,30.0,579.0,3035.0,38.03162055335969,12.161011796181441
N150_M6_S10,150,6,10,50.33,300.0,20000.0,300.014,300.007,6157.993164,9657.0,15100.0,10179.0,502.0,8126.0,500.0,30.0,30.0,96.0,1.0,453000.0,3017354.0,10136.0,380.0,2510.0,40.0,1729.0,78.0,191.0,502.0,TIME,0.6395364238410596,0.3604635761589404,199.82476821192054,0.9966407653858315,30.0,380.0,2510.0,20.276892430278885,19.86886548778065
N150_M6_S20,150,6,20,50.71,300.0,20000.0,300.036,300.029,6699.353516,14802.0,15214.0,9941.0,516.0,7777.0,600.0,30.0,30.0,101.0,3.0,456300.0,2607084.0,16515.0,675.0,4161.0,42.0,1298.0,79.0,219.0,517.0,TIME,0.9729196792428026,0.02708032075719735,171.36085184698305,0.9936653364448557,29.992112527934797,675.0,4161.0,19.265503875968992,19.719976336028395
N150_M6_S30,150,6,30,49.2,300.0,20000.0,300.014,300.015,6240.113281,11556.0,14762.0,10035.0,544.0,7745.0,300.0,30.0,30.0,99.0,1.0,442800.0,2623143.0,9873.0,374.0,2775.0,41.0,992.0,59.0,158.0,544.0,TIME,0.7828207559951226,0.21717924400487743,177.69563744750033,0.9962361945193228,29.995935510093485,374.0,2775.0,18.446691176470587,20.32520325203252
N150_M9_S10,150,9,10,37.57,300.0,20000.0,300.046,300.028,8361.817383,11199.0,11273.0,9811.0,765.0,7007.0,600.0,30.0,30.0,113.0,1.0,338100.0,2801207.0,9725.0,431.0,2816.0,60.0,2416.0,105.0,187.0,764.0,TIME,0.9934356426860641,0.006564357313935898,248.48815754457553,0.996528282272606,29.992016322185755,431.0,2816.0,12.82483660130719,26.616981634282673
N150_M9_S20,150,9,20,37.86,300.0,20000.0,300.039,300.027,8836.839844,11233.0,11360.0,9858.0,710.0,6862.0,700.0,30.0,30.0,124.0,0.0,340800.0,2561497.0,6431.0,257.0,2219.0,60.0,2878.0,119.0,246.0,710.0,TIME,0.9888204225352113,0.011179577464788704,225.48389084507042,0.9974893587616929,30.0,257.0,2219.0,13.88450704225352,26.413100898045432
N150_M9_S30,150,9,30,37.32,300.0,20000.0,300.04,300.027,8280.515625,9743.0,11199.0,9820.0,767.0,6901.0,700.0,30.0,30.0,121.0,0.0,335700.0,2923226.0,6402.0,238.0,2248.0,56.0,2417.0,97.0,210.0,767.0,TIME,0.8699883918206983,0.13001160817930169,261.0256272881507,0.9978099537976195,29.97589070452719,238.0,2248.0,12.803129074315516,26.795284030010716
N200_M3_S10,200,3,10,65.77,300.0,20000.0,300.021,300.001,3816.718262,12840.0,19731.0,13978.0,315.0,12751.0,500.0,30.0,30.0,78.0,4.0,591900.0,2325320.0,24983.0,847.0,3635.0,30.0,770.0,34.0,107.0,315.0,TIME,0.6507526227763418,0.3492473772236582,117.85109725812174,0.9892561023859082,29.998479549946783,847.0,3635.0,44.37460317460317,15.20450053215752
N200_M3_S20,200,3,20,65.16,300.0,20000.0,300.022,300.001,3881.421631,18088.0,19548.0,14212.0,301.0,12962.0,400.0,30.0,30.0,90.0,5.0,586200.0,2166207.0,29119.0,971.0,4296.0,32.0,1077.0,43.0,159.0,301.0,TIME,0.9253120523838756,0.0746879476161244,110.81476365868632,0.9865576096836545,29.987722529158994,971.0,4296.0,47.21594684385382,15.346838551258442
N200_M3_S30,200,3,30,60.64,300.0,20000.0,300.027,300.015,4041.766113,15403.0,18194.0,14284.0,291.0,13044.0,400.0,30.0,30.0,89.0,3.0,545700.0,2005079.0,20537.0,686.0,3191.0,36.0,443.0,14.0,86.0,291.0,TIME,0.8465977794877432,0.15340222051225683,110.20550731010223,0.98975751080132,29.993404419039244,686.0,3191.0,49.085910652920965,16.49076517150396
N200_M6_S10,200,6,10,32.53,300.0,20000.0,300.052,300.03,6553.092773,9112.0,9762.0,15094.0,620.0,12718.0,500.0,30.0,30.0,86.0,1.0,292800.0,2051776.0,14007.0,467.0,2884.0,44.0,1503.0,65.0,181.0,620.0,TIME,0.9334152837533293,0.06658471624667073,210.179881171891,0.9931732313858823,29.993853718500308,467.0,2884.0,24.34516129032258,30.74085459575776
N200_M6_S20,200,6,20,36.11,300.0,20000.0,300.036,300.018,6584.663086,10163.0,10835.0,14765.0,658.0,12379.0,500.0,30.0,30.0,111.0,1.0,324900.0,2133891.0,13647.0,471.0,2821.0,40.0,943.0,33.0,115.0,658.0,TIME,0.937978772496539,0.06202122750346095,196.94425473004154,0.9936046405369346,29.98615597600369,471.0,2821.0,22.439209726443767,27.693159789531986
N200_M6_S30,200,6,30,35.52,300.0,20000.0,300.037,300.013,6880.745117,10466.0,10657.0,14739.0,628.0,12423.0,500.0,30.0,30.0,112.0,0.0,319500.0,2337626.0,9013.0,274.0,2153.0,47.0,2132.0,88.0,215.0,628.0,TIME,0.9820775077413907,0.017922492258609313,219.35122454724595,0.9961443789554018,29.98029464201933,274.0,2153.0,23.469745222929937,28.153153153153152
N200_M9_S10,200,9,10,25.62,300.0,20000.0,300.027,300.006,8857.237305,6881.0,7687.0,14477.0,913.0,11262.0,500.0,30.0,30.0,114.0,0.0,230400.0,2173611.0,9014.0,290.0,2495.0,38.0,2631.0,112.0,250.0,912.0,TIME,0.8951476518797971,0.10485234812020294,282.7645375308963,0.995852983813571,29.972681149993495,290.0,2495.0,15.856516976998904,39.032006245120996
N200_M9_S20,200,9,20,25.81,300.0,20000.0,300.016,300.006,8999.894531,7572.0,7743.0,14505.0,901.0,11163.0,500.0,30.0,30.0,140.0,0.0,232200.0,2283998.0,9024.0,327.0,2533.0,54.0,3368.0,140.0,275.0,901.0,TIME,0.9779155366137157,0.022084463386284336,294.97584915407464,0.9960490333178925,29.988376598217744,327.0,2533.0,16.098779134295228,38.74467260751647
N200_M9_S30,200,9,30,25.96,300.0,20000.0,300.032,300.011,9276.639648,7050.0,7790.0,14870.0,946.0,11449.0,700.0,30.0,30.0,118.0,0.0,233700.0,2159059.0,9211.0,299.0,2569.0,60.0,3684.0,147.0,264.0,946.0,TIME,0.9050064184852374,0.09499358151476256,277.15776636713736,0.9957337895814797,30.0,299.0,2569.0,15.718816067653277,38.52080123266564
