instance,N,M,Seed,S1_prop,S1_acc,S1_gbest,S2_prop,S2_acc,S2_gbest,S4_prop,S4_acc,S4_gbest,S5_prop,S5_acc,S5_gbest,S2_strict,total_prop,S1_prop_share,S2_prop_share,S4_prop_share,S5_prop_share,S1_acc_rate,S2_acc_rate,S4_acc_rate,S5_acc_rate,final_bestZ,best_at_iter,final_iter,final_time_s,iters_per_sec,pm_peak,pm_final,ccrit_peak,restarts,total_prop_per_iter,gain_frac_by_10pct_iters,bestZ_at_iter10pct,incumbent_accepted_jobs,reject_count,reject_frac,incumbent_tardiness,incumbent_revenue,m0_size_final,pm_nstrong_mean,pm_nweak_mean,pm_ncrit_mean,pm_score_min,pm_created_total,pm_deleted_total,distinct_full_min,ham_order_mean_first,ham_order_mean_last,obj_std_first,obj_std_last,best_events_n,gain_frac_first10pct_events,njobs_changed_mean,elite_count,elite_distinct_order,elite_distinct_full,pm_warn_hit,restart_lines
N150_M6_S10,150,6,10,2265000,453000,40,17704016,3017354,1729,120701,380,78,317430392,2510,191,10136,337520109,0.006710711272020832,0.05245321842438727,0.00035761128531752165,0.9404784590182744,0.2,0.17043330733546558,0.003148275490675305,7.907245378067013e-06,6157.993164,9657.0,15100.0,300.014,50.33,10179.0,502.0,8126.0,1.0,22352.325099337748,0.9974501134394267,5877.236328,46.0,104.0,0.6933333333333334,505.26,7678.83,132.0,170.2171052631579,178.95394736842104,105.60526315789474,-1493.691895,15975,15473,30,149.0598,148.6805,10850.5799,93.7433,96,0.97467364051259,105.98958333333333,10,10,10,True,1
N150_M6_S20,150,6,20,2282100,456420,42,12752936,2607786,1298,119681,675,79,320185550,4161,219,16515,335340267,0.0068053264835028,0.0380298379138584,0.00035689421097765154,0.9548079413916611,0.2,0.20448514757699718,0.005639992981342067,1.2995589588599486e-05,6699.353516,14802.0,15214.0,300.036,50.71,9941.0,516.0,7777.0,3.0,22041.558235835415,0.9978790341724784,6497.922852,46.0,104.0,0.6933333333333334,434.54,7846.44,126.0,175.5032679738562,178.3921568627451,163.69281045751634,-1039.009155,27203,26686,30,148.9931,148.6276,8621.2912,133.0942,101,0.967382591290823,104.23762376237623,10,10,10,True,3
N150_M6_S30,150,6,30,2214300,442860,41,13745038,2623509,992,105483,374,59,320339463,2775,158,9873,336404284,0.0065822586254579325,0.04085868894582805,0.0003135602161356542,0.9522454922125784,0.2,0.19086953415479826,0.0035455950247907245,8.662685433795586e-06,6240.113281,11556.0,14762.0,300.014,49.2,10035.0,544.0,7745.0,1.0,22788.530280449802,0.9981470853012236,6065.879883,46.0,104.0,0.6933333333333334,505.96,7665.07,126.0,179.33783783783784,195.5810810810811,106.11486486486487,-1102.358765,16011,15467,30,148.9839,148.7425,11039.5975,76.4378,99,0.9696754824389525,84.66666666666667,10,10,10,True,1
N150_M9_S10,150,9,10,1690950,338190,60,14888135,2802002,2416,48447,431,105,309038687,2816,187,9725,325666219,0.005192279399417844,0.045715932852096026,0.00014876274287447665,0.9489430250056117,0.2,0.18820369374673188,0.00889631968955766,9.112127764120354e-06,8361.817383,11199.0,11273.0,300.046,37.57,9811.0,765.0,7007.0,1.0,28889.04630533132,0.997116358576711,8163.852051,62.0,88.0,0.5866666666666667,575.4901,10237.18,118.0,263.17699115044246,271.4424778761062,126.929203539823,-936.488831,14945,14184,30,149.0598,148.6069,8021.3303,153.6305,113,0.956440408830416,103.30088495575221,10,10,10,True,1
N150_M9_S20,150,9,20,1704000,340800,60,12353035,2561497,2878,96314,257,119,309420985,2219,246,6431,323574334,0.005266177879238098,0.03817680731129929,0.00029765648841604354,0.9562593583210466,0.2,0.20735770602123285,0.002668355586934402,7.171459298405375e-06,8836.839844,11233.0,11360.0,300.039,37.86,9858.0,710.0,6862.0,0.0,28483.65616197183,0.9961886856951864,8589.081055,62.0,88.0,0.5866666666666667,480.41,10205.0,113.0,217.5438596491228,232.60526315789474,86.06140350877193,-813.374512,10012,9297,30,148.9931,148.5816,5477.1288,67.6945,124,0.9559408433848973,93.36290322580645,10,10,10,True,0
N150_M9_S30,150,9,30,1679850,335970,56,13885019,2925713,2417,129820,238,97,306107064,2248,210,6402,321801753,0.0052201393694707434,0.04314774195776367,0.00040341607461659787,0.951228702598149,0.2,0.21071004656169356,0.0018333076567555076,7.343835750226267e-06,8280.515625,9743.0,11199.0,300.04,37.32,9820.0,767.0,6901.0,0.0,28734.86498794535,0.995912444118424,8013.323242,61.0,89.0,0.5933333333333334,587.53,9890.42,107.0,246.16964285714286,263.60714285714283,87.875,-853.198853,10018,9241,30,148.9839,148.6598,7214.3971,44.1477,121,0.9573078055141352,99.2396694214876,10,10,10,True,0
N200_M3_S10,200,3,10,2959650,591930,30,14779249,2325439,770,105394,847,34,319057622,3635,107,24983,336901915,0.00878490108908998,0.043868106240951464,0.0003128328908430218,0.9470341597791155,0.2,0.15734486914727536,0.008036510617302694,1.1392926384939959e-05,3816.718262,12840.0,19731.0,300.021,65.77,13978.0,315.0,12751.0,4.0,17074.751153007957,0.9996013441552993,3697.09668,29.0,171.0,0.855,425.92,4949.72,190.0,107.31313131313131,114.54040404040404,242.81313131313132,-2675.579346,45410,45095,30,198.9701,198.7172,30341.6421,95.7688,78,0.7009980647665462,135.12820512820514,10,7,7,True,4
N200_M3_S20,200,3,20,2932200,586440,32,13327534,2167157,1077,60970,971,43,313225113,4296,159,29119,329545817,0.008897700558584241,0.040442127657168835,0.00018501221030519104,0.9504751595739417,0.2,0.16260750113261763,0.015925865179596523,1.3715375369662648e-05,3881.421631,18088.0,19548.0,300.022,65.16,14212.0,301.0,12962.0,5.0,16858.288162471865,0.9994560261321028,3724.916992,29.0,171.0,0.855,396.81,4873.37,191.0,108.09183673469387,113.65306122448979,279.07142857142856,-2789.891602,54134,53832,30,199.0322,198.6805,29629.9119,107.3173,90,0.7724645566477868,133.0222222222222,10,10,10,True,5
N200_M3_S30,200,3,30,2729100,545820,36,13333264,2005481,443,45145,686,14,300695571,3191,86,20537,316803080,0.00861449958125407,0.042086914053992154,0.00014250177113177056,0.949156084593622,0.2,0.15041185714165714,0.01519548122715694,1.0612061858403627e-05,4041.766113,15403.0,18194.0,300.027,60.64,14284.0,291.0,13044.0,3.0,17412.503022974608,0.999498131990813,3903.520508,30.0,170.0,0.85,390.25,5143.63,189.0,102.71428571428571,110.86813186813187,217.43956043956044,-2845.822998,38123,37833,30,199.0483,198.7586,34803.7392,82.3665,89,0.7585188805482763,139.02247191011236,10,10,10,True,3
N200_M6_S10,200,6,10,1464300,292860,44,11484844,2052222,1503,33924,467,65,292023558,2884,181,14007,305006626,0.004800879309421953,0.037654408202922124,0.00011122381321643812,0.9574334886744394,0.2,0.17868958429039175,0.013766065322485557,9.875915558839949e-06,6553.092773,9112.0,9762.0,300.052,32.53,15094.0,620.0,12718.0,1.0,31244.276377791437,0.9989334250015768,6361.694824,49.0,151.0,0.755,578.34,8196.2401,180.0,202.90816326530611,224.73469387755102,250.57142857142858,-1667.819336,23640,23023,30,198.9701,198.6069,13946.7696,184.0719,86,0.9081716156353294,123.26744186046511,10,10,10,True,1
N200_M6_S20,200,6,20,1625250,325050,40,11469846,2134894,943,17624,471,33,318518501,2821,115,13647,331631221,0.004900775008755885,0.034586146519660764,5.3143367946047514e-05,0.9604599351036373,0.2,0.18613100821057232,0.026724920562868817,8.856628394091305e-06,6584.663086,10163.0,10835.0,300.036,36.11,14765.0,658.0,12379.0,1.0,30607.40387632672,0.9984864107510669,6329.898926,51.0,149.0,0.745,649.24,8336.11,175.0,199.19266055045873,230.0091743119266,219.6880733944954,-1752.813232,23168,22508,30,199.0322,198.6069,17326.7906,86.9388,111,0.983280524226155,127.69369369369369,10,10,10,True,1
N200_M6_S30,200,6,30,1598550,319710,47,12612204,2339126,2132,9563,274,88,312746488,2153,215,9013,326966805,0.004889028413755947,0.03857334691819862,2.924761735369436e-05,0.9565083770506917,0.2,0.1854652842595949,0.02865209662239883,6.884170031031651e-06,6880.745117,10466.0,10657.0,300.037,35.52,14739.0,628.0,12423.0,0.0,30680.94257295674,0.9983150731653255,6582.741699,52.0,148.0,0.74,583.04,8525.44,174.0,205.06542056074767,218.57943925233644,156.55140186915887,-1663.424683,14929,14299,30,199.0483,198.6069,16401.8854,65.7756,112,0.9747266344435488,147.74107142857142,10,10,10,True,0
N200_M9_S10,200,9,10,1153050,230610,38,10552492,2175700,2631,36265,290,112,305458438,2495,250,9014,317200245,0.0036350854647038498,0.03326760356064668,0.00011432841106412133,0.9629829825635854,0.2,0.20617878696330685,0.007996691024403695,8.16805067273997e-06,8857.237305,6881.0,7687.0,300.027,25.62,14477.0,913.0,11262.0,0.0,41264.50435800703,0.9980357142650964,8614.041016,67.0,133.0,0.665,707.5899,10886.24,165.0,291.6753246753247,305.16883116883116,201.11688311688312,-1221.655273,14664,13752,30,198.9701,198.6897,9642.7132,68.1008,114,0.9692560999731281,143.06140350877192,10,10,10,True,0
N200_M9_S20,200,9,20,1161450,232290,54,11474360,2284950,3368,50591,327,140,303220323,2533,275,9024,315906724,0.0036765599202630457,0.036321987245830197,0.000160145372530912,0.9598413074613759,0.2,0.19913528946276743,0.006463600245102884,8.353661703605534e-06,8999.894531,7572.0,7743.0,300.016,25.81,14505.0,901.0,11163.0,0.0,40799.00865297688,0.9970962283147429,8619.477539,68.0,132.0,0.66,636.15,10693.55,164.0,273.28205128205127,325.3974358974359,197.5,-1211.779541,14643,13743,30,199.0322,198.5402,11420.6032,85.9781,140,0.9753695612311485,119.93571428571428,10,10,10,True,0
N200_M9_S30,200,9,30,1168500,233700,60,10790352,2159059,3684,54061,299,147,302706184,2569,264,9211,314719097,0.003712834750539463,0.034285660142193405,0.00017177540389295157,0.9618297297033742,0.2,0.2000916188832394,0.005530789293575775,8.486777395997962e-06,9276.639648,7050.0,7790.0,300.032,25.96,14870.0,946.0,11449.0,0.0,40400.39756097561,0.996398825261641,8804.326172,67.0,133.0,0.665,597.34,11004.85,164.0,293.53846153846155,326.35897435897436,202.44871794871796,-1135.795532,15128,14186,30,199.0483,198.7655,8492.0777,98.9837,118,0.969140753904199,126.40677966101696,10,10,10,True,0
