instance,N,M,Seed,S1_prop,S1_acc,S1_gbest,S2_prop,S2_acc,S2_gbest,S4_prop,S4_acc,S4_gbest,S5_prop,S5_acc,S5_gbest,S2_strict,total_prop,S1_prop_share,S2_prop_share,S4_prop_share,S5_prop_share,S1_acc_rate,S2_acc_rate,S4_acc_rate,S5_acc_rate,final_bestZ,best_at_iter,final_iter,final_time_s,iters_per_sec,pm_peak,pm_final,ccrit_peak,restarts,total_prop_per_iter,gain_frac_by_10pct_iters,bestZ_at_iter10pct,incumbent_accepted_jobs,reject_count,reject_frac,incumbent_tardiness,incumbent_revenue,m0_size_final,pm_nstrong_mean,pm_nweak_mean,pm_ncrit_mean,pm_score_min,pm_created_total,pm_deleted_total,distinct_full_min,ham_order_mean_first,ham_order_mean_last,obj_std_first,obj_std_last,best_events_n,gain_frac_first10pct_events,njobs_changed_mean,elite_count,elite_distinct_order,elite_distinct_full,pm_warn_hit,restart_lines
N50_M3_S20,50,3,20,2959830,986610,25,11979269,2513828,117,81991,507,6,96326563,3522,63,6902,111347653,0.026581880446101543,0.10758438707280162,0.0007363513984439349,0.8650973810826529,0.3333333333333333,0.20984819691418566,0.00618360551767877,3.6563123299644775e-05,2970.563232,25439.0,32887.0,120.015,274.02,1879.0,104.0,982.0,8.0,3385.7649831240306,0.9943126013377103,2921.466309,22.0,28.0,0.56,174.97,3477.32,34.0,36.16413373860183,43.45592705167173,19.25531914893617,-705.748169,12357,12253,30,49.0483,48.5678,3598.9237,39.5515,50,0.6711307858609722,37.3,5,5,5,False,8
N50_M3_S30,50,3,30,2898000,966000,20,10678392,2193680,200,165410,556,14,102425525,3572,59,8298,116167327,0.024946773545026134,0.09192250760835703,0.0014238943450941245,0.8817068245015227,0.3333333333333333,0.20543167922661015,0.0033613445378151263,3.487411951268983e-05,2877.521973,14037.0,32200.0,120.014,268.3,1893.0,122.0,1006.0,10.0,3607.6809627329194,0.9961697670946453,2833.683594,19.0,31.0,0.62,118.5,3265.67,38.0,49.628482972136226,46.95665634674923,23.820433436532507,-664.227112,14136,14014,30,48.9241,48.6575,3334.2828,44.0494,32,0.35655935428359015,38.21875,5,5,5,False,10
N50_M6_S10,50,6,10,2227410,742470,28,12536860,2757804,128,287460,648,5,93782519,3892,75,5074,108834249,0.020466075894914292,0.11519223144545243,0.0026412641483840255,0.8617004285112493,0.3333333333333333,0.2199756557862176,0.0022542266750156543,4.150027149515999e-05,4952.306641,17157.0,24749.0,120.0,206.24,1903.0,260.0,689.0,7.0,4397.521071558447,0.9928018247894892,4912.57666,34.0,16.0,0.32,207.28,5630.97,24.0,94.25,101.12903225806451,17.137096774193548,-459.74408,9909,9649,30,49.0253,48.6,1837.5559,31.6654,56,0.6212381727539208,29.196428571428573,5,5,5,False,7
N50_M6_S20,50,6,20,2178090,726030,38,12072042,2704066,168,489446,608,7,100553572,3356,49,4547,115293150,0.018891755494580553,0.10470736552865456,0.00424523052757254,0.8721556484491924,0.3333333333333333,0.22399408484496658,0.0012422207965740858,3.3375243994315784e-05,4716.522461,13877.0,24201.0,120.012,201.65,1899.0,239.0,691.0,6.0,4763.982893268873,0.9859349096644963,4629.524414,33.0,17.0,0.34,168.04,5249.22,26.0,81.3127572016461,93.81893004115226,15.946502057613168,-343.124023,8899,8660,30,49.0483,48.5563,1485.8199,41.4921,58,0.6172014317570832,31.086206896551722,5,5,5,False,6
N50_M6_S30,50,6,30,2245680,748560,40,9194725,2411497,259,289536,622,11,106402247,3587,69,5450,118132188,0.019009890852102054,0.07783420552576238,0.0024509492704901056,0.9007049543516454,0.3333333333333333,0.26226961654644376,0.0021482648099027408,3.371169407728767e-05,4567.736328,4704.0,24952.0,120.015,207.91,1910.0,219.0,777.0,7.0,4734.377524847708,0.9911768181808623,4507.600586,31.0,19.0,0.38,159.59,5081.9099,31.0,80.208,83.148,18.708,-356.221588,10409,10190,30,48.9241,48.6805,1582.1189,44.9878,66,0.7193113775068835,34.13636363636363,5,5,5,False,7
N50_M9_S10,50,9,10,2114550,704850,44,15403305,3195822,149,395915,404,7,82935205,2852,46,2384,100848975,0.020967491241234728,0.15273635651725762,0.003925820763175828,0.8223703314783318,0.3333333333333333,0.20747638250362505,0.0010204210499728478,3.438829143787611e-05,6323.985352,11227.0,23495.0,120.022,195.76,1897.0,305.0,483.0,4.0,4292.359012555863,0.9838647319030862,6256.850098,42.0,8.0,0.16,161.83,6814.66,10.0,109.0936170212766,127.88085106382978,8.076595744680851,-298.25946,6368,6065,30,49.0253,48.5701,1276.0732,23.1603,65,0.582599028496913,22.876923076923077,5,5,5,False,4
N50_M9_S20,50,9,20,2242530,747510,50,14773372,3345768,195,761682,580,11,88873820,2820,66,2520,106651404,0.021026727411858546,0.13852018300668598,0.007141790650969771,0.8333112989304857,0.3333333333333333,0.22647287295006177,0.0007614726355618224,3.173037909251566e-05,6013.550781,14609.0,24917.0,120.015,207.62,1849.0,339.0,489.0,4.0,4280.266645262271,0.9785028164348287,5929.706543,42.0,8.0,0.16,161.42,6523.94,14.0,99.392,129.692,7.896,-279.614044,6341,6002,30,49.0483,48.5494,1501.7668,45.2071,84,0.6067010542956632,35.583333333333336,5,5,5,False,4
N50_M9_S30,50,9,30,2205000,735000,51,11142198,2799126,301,865900,626,16,98279895,2941,74,3287,112492993,0.019601220851151145,0.09904792914524019,0.007697368315198085,0.8736534816884106,0.3333333333333333,0.2512184759236912,0.0007229472225430188,2.9924736895577676e-05,5827.876465,23716.0,24500.0,119.989,204.18,1881.0,328.0,587.0,5.0,4591.5507346938775,0.9806992537488907,5737.738281,41.0,9.0,0.18,197.25,6443.8399,19.0,111.369918699187,121.91869918699187,10.804878048780488,-309.295837,7088,6760,30,48.9241,48.5379,1257.4015,48.9686,75,0.6549244730930256,32.626666666666665,5,5,5,False,5
N100_M3_S10,100,3,10,1800000,600000,30,8028044,1918694,497,30462,586,31,151507753,3080,99,12982,161366259,0.011154748279812325,0.04975044999958758,0.00018877552338869056,0.9389060261972114,0.3333333333333333,0.2389989392185693,0.019237082266430307,2.0328992668777814e-05,3053.804688,18335.0,20000.0,146.437,136.58,5880.0,170.0,3867.0,5.0,8068.31295,0.9981740772477095,2929.952148,22.0,78.0,0.78,232.01,3710.47,95.0,63.840796019900495,66.09950248756219,89.50248756218906,-1551.670532,22394,22224,30,99.0989,98.692,10125.1945,88.0985,65,0.4919665158365687,68.38461538461539,10,5,5,True,5
N100_M3_S20,100,3,20,1800000,600000,27,8415765,1725704,384,44215,741,23,147503025,3323,66,15068,157763005,0.011409518980701465,0.05334435028034614,0.0002802621565176196,0.9349658685824348,0.3333333333333333,0.2050561060105647,0.0167590184326586,2.252835153719729e-05,2921.281006,14078.0,20000.0,140.336,142.51,5886.0,160.0,3872.0,6.0,7888.15025,0.9979453561359359,2804.099121,23.0,77.0,0.77,346.54,3821.93,93.0,68.0,65.42786069651741,89.08955223880596,-1615.483276,27085,26925,30,98.9218,98.731,11314.4127,96.9366,63,0.5394170138022018,66.12698412698413,10,5,5,True,6
