N,M,Seed,BestZ,Iterations,TimeUsed,BestAtIter,S2Repairs,S4Phase1Hits,StagnationResets
30,3,10,2132.7959,49261,120.00,544,2926276,15,489
30,3,20,2233.5176,48096,120.00,1887,2750150,10,473
30,3,30,2538.6406,45229,120.01,6518,3226227,27,447
30,6,10,3340.2053,40377,120.00,1736,3053650,47,397
30,6,20,3363.7991,40682,120.00,9442,3334834,46,397
30,6,30,3861.8447,40572,120.00,2563,3002913,35,397
30,9,10,4207.7710,44710,120.01,4941,3786508,45,438
30,9,20,4056.1538,50000,108.61,3639,5354080,51,494
30,9,30,4643.4302,44537,120.00,1316,4605041,36,439
50,3,10,3165.8669,26436,120.00,20672,2139374,21,257
50,3,20,2942.8599,32650,120.01,15708,2552417,15,316
50,3,30,2891.1443,28921,120.01,19754,2112255,24,283
50,6,10,4974.3809,23092,120.01,10721,2853964,56,217
50,6,20,4709.7148,22178,120.01,4543,2544247,54,211
50,6,30,4580.2378,23278,120.00,21282,2466370,54,214
50,9,10,6284.0879,21996,120.00,4051,2992665,95,205
50,9,20,6045.9712,22020,120.01,18697,3114266,107,207
50,9,30,5824.2261,21466,120.00,13485,2756955,81,196
100,3,10,3017.0698,16089,120.01,12936,1300186,4,308
100,3,20,2936.2542,15953,120.01,13644,1212277,18,301
100,3,30,3286.6487,16255,120.00,11077,1395855,18,310
100,6,10,5117.1567,8909,120.01,6651,1307005,27,158
100,6,20,5019.1226,10179,120.01,9742,1328780,30,177
100,6,30,5313.3696,10077,120.01,7816,1473172,44,182
100,9,10,6824.2051,7544,120.01,6294,1420202,47,128
100,9,20,6705.5430,7863,120.00,7499,1422197,60,130
100,9,30,7012.5669,7203,120.03,5018,1303560,81,123
150,3,10,3565.3433,20349,240.01,11586,1956879,12,387
150,3,20,4054.1611,20982,240.01,20614,2064522,12,398
150,3,30,3752.0508,19630,240.01,18392,1888774,16,377
150,6,10,6163.1157,11698,240.01,10716,2056884,38,209
150,6,20,6727.0889,12056,240.01,9824,1893062,43,210
150,6,30,6186.9863,11742,240.00,11378,1960239,22,215
150,9,10,8383.1455,8351,240.02,8083,1771750,52,142
150,9,20,8821.2559,8405,240.00,8099,1645693,101,132
150,9,30,8224.9355,8337,240.03,8233,1906731,56,141
200,3,10,3795.4734,15378,240.01,7608,1466421,18,292
200,3,20,3845.5781,15652,240.01,13637,1490781,15,295
200,3,30,4043.6062,15076,240.00,12732,1459989,12,279
200,6,10,6535.3481,8142,240.01,7262,1379415,31,138
200,6,20,6597.9116,8260,240.00,8199,1262274,49,138
200,6,30,6867.8623,7999,240.02,7924,1289553,22,138
200,9,10,8855.7881,5569,240.01,5494,1150743,62,82
200,9,20,8958.1562,5977,240.00,5664,1262009,66,84
200,9,30,9278.3975,5802,240.00,4876,1232985,71,87
